step,alteration,octave,pitch,type,duration,measureCount,voice
G,,4,G4,half,2.0,0,2400746871472
G,,4,G4,half,2.0,1,2400746871472
D,,5,D5,half,2.0,1,2400746871472
F,0,5,F5,half,2.0,1,2400746871472
E,,5,E5,half,2.0,1,2400746871472
D,,5,D5,whole,4.0,2,2400746871472
A,,4,A4,half,2.0,2,2400746871472
A,,4,A4,half,2.0,2,2400746871472
G,,4,G4,whole,4.0,3,2400746871472
A,,4,A4,half,2.0,3,2400746871472
D,,5,D5,half,2.0,3,2400746871472
D,,5,D5,quarter,1.0,4,2400746871472
C,,5,C5,quarter,1.0,4,2400746871472
B,-1,4,B[-1]4,quarter,1.0,4,2400746871472
A,,4,A4,quarter,1.0,4,2400746871472
B,,4,B4,half,2.0,4,2400746871472
B,,4,B4,half,2.0,4,2400746871472
G,,4,G4,whole,6.0,5,2400746871472
G,,4,G4,half,2.0,5,2400746871472
G,,4,G4,half,2.0,6,2400746871472
D,,5,D5,half,2.0,6,2400746871472
F,0,5,F5,half,2.0,6,2400746871472
E,,5,E5,half,2.0,6,2400746871472
D,,5,D5,whole,4.0,7,2400746871472
A,,4,A4,half,2.0,7,2400746871472
A,,4,A4,half,2.0,7,2400746871472
G,,4,G4,whole,4.0,8,2400746871472
A,,4,A4,half,2.0,8,2400746871472
D,,5,D5,half,2.0,8,2400746871472
D,,5,D5,quarter,1.0,9,2400746871472
C,,5,C5,quarter,1.0,9,2400746871472
B,-1,4,B[-1]4,quarter,1.0,9,2400746871472
A,,4,A4,quarter,1.0,9,2400746871472
B,,4,B4,half,2.0,9,2400746871472
B,,4,B4,half,2.0,9,2400746871472
G,,4,G4,whole,6.0,10,2400746871472
C,,5,C5,half,2.0,10,2400746871472
C,,5,C5,half,2.0,11,2400746871472
C,,5,C5,half,2.0,11,2400746871472
C,,5,C5,half,2.0,11,2400746871472
B,-1,4,B[-1]4,half,2.0,11,2400746871472
A,,4,A4,whole,4.0,12,2400746871472
G,,4,G4,whole,4.0,12,2400746871472
B,-1,4,B[-1]4,whole,4.0,13,2400746871472
A,,4,A4,whole,4.0,14,2400746871472
F,0,4,F4,half,2.0,14,2400746871472
G,,4,G4,half,2.0,14,2400746871472
G,,4,G4,quarter,1.0,15,2400746871472
F,0,4,F4,quarter,1.0,15,2400746871472
E,,4,E4,quarter,1.0,15,2400746871472
D,,4,D4,quarter,1.0,15,2400746871472
E,,4,E4,half,2.0,15,2400746871472
E,,4,E4,half,2.0,15,2400746871472
D,,4,D4,breve,8.0,16,2400746871472
rest,,,rest,half,2.0,17,2400746871472
G,,4,G4,half,2.0,17,2400746871472
G,,4,G4,half,2.0,17,2400746871472
A,,4,A4,half,2.0,17,2400746871472
B,-1,4,B[-1]4,half,2.0,18,2400746871472
C,,5,C5,half,2.0,18,2400746871472
A,,4,A4,whole,4.0,18,2400746871472
G,,4,G4,whole,4.0,19,2400746871472
D,,5,D5,whole,4.0,19,2400746871472
F,0,5,F5,whole,4.0,20,2400746871472
E,,5,E5,half,2.0,20,2400746871472
D,,5,D5,half,2.0,20,2400746871472
D,,5,D5,half,2.0,21,2400746871472
C,,5,C5,half,2.0,21,2400746871472
D,,5,D5,half,3.0,21,2400746871472
C,,5,C5,quarter,1.0,21,2400746871472
B,-1,4,B[-1]4,quarter,1.0,21,2400746871472
A,,4,A4,quarter,1.0,21,2400746871472
B,,4,B4,half,2.0,21,2400746871472
B,,4,B4,half,2.0,22,2400746871472
A,,4,A4,quarter,1.0,22,2400746871472
G,,4,G4,quarter,1.0,22,2400746871472
F,0,4,F4,half,2.0,22,2400746871472
F,1,4,F[1]4,half,2.0,22,2400746871472
G,,4,G4,half,2.0,23,2400746871472
B,-1,4,B[-1]4,half,2.0,23,2400746871472
A,,4,A4,half,2.0,23,2400746871472
C,,5,C5,half,2.0,23,2400746871472
D,,5,D5,quarter,1.0,24,2400746871472
B,-1,4,B[-1]4,quarter,1.0,24,2400746871472
A,,4,A4,quarter,1.0,24,2400746871472
G,,4,G4,quarter,1.0,24,2400746871472
A,,4,A4,half,2.0,24,2400746871472
A,,4,A4,half,2.0,24,2400746871472
G,,4,G4,whole,6.0,25,2400746871472
rest,,,rest,half,2.0,25,2400746871472
