step,alteration,octave,pitch,type,duration,measureCount,voice
E,,4,E4,whole,4.0,0,2400777818352
A,,4,A4,whole,4.0,0,2400777818352
G,0,4,G4,half,2.0,1,2400777818352
F,0,4,F4,whole,4.0,1,2400777818352
E,,4,E4,half,2.0,1,2400777818352
D,0,4,D4,whole,4.0,2,2400777818352
E,,4,E4,whole,4.0,2,2400777818352
B,,4,B4,whole,4.0,3,2400777818352
C,0,5,C5,whole,4.0,3,2400777818352
C,0,5,C5,half,2.0,4,2400777818352
B,,4,B4,whole,4.0,4,2400777818352
B,,4,B4,half,2.0,4,2400777818352
A,,4,A4,breve,8.0,5,2400777818352
E,,4,E4,whole,4.0,6,2400777818352
A,,4,A4,whole,4.0,6,2400777818352
G,0,4,G4,half,2.0,7,2400777818352
F,0,4,F4,whole,4.0,7,2400777818352
E,,4,E4,half,2.0,7,2400777818352
D,0,4,D4,whole,4.0,8,2400777818352
E,,4,E4,whole,4.0,8,2400777818352
B,,4,B4,whole,4.0,9,2400777818352
C,0,5,C5,whole,4.0,9,2400777818352
C,0,5,C5,half,2.0,10,2400777818352
B,,4,B4,whole,4.0,10,2400777818352
B,,4,B4,half,2.0,10,2400777818352
A,,4,A4,whole,4.0,11,2400777818352
rest,,,rest,half,2.0,11,2400777818352
C,0,5,C5,half,2.0,11,2400777818352
B,,4,B4,half,2.0,12,2400777818352
A,,4,A4,half,2.0,12,2400777818352
A,,4,A4,half,2.0,12,2400777818352
B,,4,B4,half,2.0,12,2400777818352
C,0,5,C5,whole,4.0,13,2400777818352
C,1,5,C[1]5,half,2.0,13,2400777818352
G,0,4,G4,half,2.0,13,2400777818352
A,,4,A4,half,2.0,14,2400777818352
G,0,4,G4,half,2.0,14,2400777818352
A,,4,A4,half,2.0,14,2400777818352
F,0,4,F4,half,2.0,14,2400777818352
E,,4,E4,breve,8.0,15,2400777818352
E,,4,E4,half,2.0,16,2400777818352
C,0,5,C5,half,2.0,16,2400777818352
B,,4,B4,whole,4.0,16,2400777818352
D,0,5,D5,half,2.0,17,2400777818352
C,0,5,C5,whole,4.0,17,2400777818352
B,,4,B4,half,2.0,17,2400777818352
A,,4,A4,whole,4.0,18,2400777818352
B,,4,B4,whole,4.0,18,2400777818352
E,,4,E4,whole,4.0,19,2400777818352
F,0,4,F4,whole,4.0,19,2400777818352
E,,4,E4,half,2.0,20,2400777818352
D,0,4,D4,whole,4.0,20,2400777818352
D,1,4,D[1]4,half,2.0,20,2400777818352
E,,4,E4,breve,8.0,21,2400777818352
