step,alteration,octave,pitch,type,duration,measureCount,voice
E,,4,E4,whole,4.0,0,2400746874880
E,,4,E4,whole,4.0,0,2400746874880
F,,4,F4,whole,4.0,1,2400746874880
E,,4,E4,half,2.0,1,2400746874880
D,,4,D4,half,2.0,1,2400746874880
E,,4,E4,half,2.0,2,2400746874880
F,,4,F4,half,2.0,2,2400746874880
D,,4,D4,whole,4.0,2,2400746874880
C,,4,C4,whole,4.0,3,2400746874880
A,,4,A4,whole,4.0,3,2400746874880
G,,4,G4,whole,4.0,4,2400746874880
A,,4,A4,half,2.0,4,2400746874880
B,,4,B4,half,2.0,4,2400746874880
C,,5,C5,whole,4.0,5,2400746874880
G,,4,G4,whole,4.0,5,2400746874880
A,,4,A4,half,2.0,6,2400746874880
F,,4,F4,whole,4.0,6,2400746874880
D,,4,D4,half,2.0,6,2400746874880
C,,4,C4,breve,8.0,7,2400746874880
