step,alteration,octave,pitch,type,duration,noteCount,measureCount,partCount
G,,4,G4,half,20160,2,1,6
G,,4,G4,half,20160,1,2,6
G,,4,G4,half,20160,2,2,6
G,,4,G4,half,20160,3,2,6
G,,4,G4,half,20160,4,2,6
A,,4,A4,whole,40320,1,3,6
A,,4,A4,whole,40320,2,3,6
D,,5,D5,whole,40320,1,4,6
D,,5,D5,half,20160,2,4,6
A,,4,A4,half,20160,3,4,6
D,,5,D5,half,20160,1,5,6
C,,5,C5,whole,40320,2,5,6
B,-1,4,B[-1]4,half,20160,3,5,6
A,,4,A4,breve,80640,1,6,6
Rest,,,Rest,whole,60480,1,7,6
D,,5,D5,half,20160,2,7,6
D,,5,D5,half,20160,1,8,6
D,,5,D5,half,20160,2,8,6
D,,5,D5,half,20160,3,8,6
D,,5,D5,half,20160,4,8,6
C,,5,C5,half,20160,1,9,6
A,,4,A4,whole,40320,2,9,6
B,-1,4,B[-1]4,half,20160,3,9,6
G,,4,G4,whole,40320,1,10,6
A,,4,A4,half,20160,2,10,6
C,,5,C5,half,20160,3,10,6
D,,5,D5,quarter,10080,1,11,6
B,-1,4,B[-1]4,quarter,10080,2,11,6
A,,4,A4,quarter,10080,3,11,6
G,,4,G4,quarter,10080,4,11,6
A,,4,A4,whole,40320,5,11,6
G,,4,G4,breve,80640,1,12,6
D,,5,D5,whole,40320,1,13,6
F,0,5,F5,half,20160,2,13,6
D,,5,D5,half,20160,3,13,6
D,,5,D5,quarter,10080,1,14,6
B,-1,4,B[-1]4,quarter,10080,2,14,6
C,,5,C5,half,20160,3,14,6
A,,4,A4,whole,40320,4,14,6
G,,4,G4,whole,60480,1,15,6
Rest,,,Rest,half,20160,2,15,6
