step,octave,type,duration,noteCount,measureCount,partCount
E,5,half,20160,2,1,6
C,5,whole,40320,1,2,6
A,4,whole,40320,2,2,6
E,5,half,20160,3,2,6
D,5,half,20160,4,2,6
C,5,half,30240,1,3,6
B,4,quarter,10080,2,3,6
C,5,half,20160,3,3,6
A,4,whole,40320,4,3,6
E,5,half,20160,5,3,6
D,5,whole,40320,1,4,6
B,4,whole,40320,2,4,6
C,5,half,20160,3,4,6
D,5,half,20160,4,4,6
E,5,breve,120960,1,5,6
E,5,whole,40320,1,6,6
D,5,whole,40320,2,6,6
C,5,half,20160,3,6,6
D,5,half,20160,4,6,6
B,4,breve,80640,1,7,6
Rest,,half,20160,2,7,6
B,4,half,20160,3,7,6
D,5,whole,40320,1,8,6
B,4,whole,40320,2,8,6
E,5,half,20160,3,8,6
D,5,half,20160,4,8,6
E,5,half,30240,1,9,6
D,5,quarter,10080,2,9,6
E,5,half,20160,3,9,6
C,5,whole,40320,4,9,6
D,5,half,20160,5,9,6
E,5,whole,40320,1,10,6
C,5,whole,40320,2,10,6
D,5,half,20160,3,10,6
B,4,half,20160,4,10,6
A,4,breve,120960,1,11,6
E,5,whole,40320,1,12,6
C,5,whole,40320,2,12,6
D,5,half,20160,3,12,6
B,4,half,20160,4,12,6
A,4,breve,80640,1,13,6
Rest,,half,20160,2,13,6
Rest,,half,20160,3,13,6
